filename,flesch_reading_ease
model144_deepseek_zero-shot_description.txt,41.9
model144_xai_nisaba_description.txt,26.18
model144_xai_zero-shot_description.txt,24.09
model144_zai_nisaba_description.txt,28.61
model144_zai_zero-shot_description.txt,31.21
model148_anthropic_nisaba_description.txt,7.76
model148_anthropic_zero-shot_description.txt,19.16
model148_deepseek_nisaba_description.txt,19.55
model148_deepseek_zero-shot_description.txt,34.64
model148_xai_nisaba_description.txt,19.13
model148_xai_zero-shot_description.txt,21.25
model148_zai_nisaba_description.txt,10.18
model148_zai_zero-shot_description.txt,29.95
model15_anthropic_nisaba_description.txt,14.93
model15_anthropic_zero-shot_description.txt,8.71
model15_deepseek_nisaba_description.txt,19.82
model15_deepseek_zero-shot_description.txt,33.41
model15_xai_nisaba_description.txt,21.79
model15_xai_zero-shot_description.txt,28.29
model15_zai_nisaba_description.txt,20.41
model15_zai_zero-shot_description.txt,37.51
model16_anthropic_nisaba_description.txt,2.3
model16_anthropic_zero-shot_description.txt,9.28
model16_deepseek_nisaba_description.txt,13.88
model16_deepseek_zero-shot_description.txt,37.43
model16_xai_nisaba_description.txt,24.97
model16_xai_zero-shot_description.txt,24.14
model16_zai_nisaba_description.txt,23.91
model16_zai_zero-shot_description.txt,29.2
model172_anthropic_nisaba_description.txt,2.65
model172_anthropic_zero-shot_description.txt,10.21
model172_deepseek_nisaba_description.txt,14.91
model172_deepseek_zero-shot_description.txt,28.56
model172_xai_nisaba_description.txt,17.82
model172_xai_zero-shot_description.txt,15.86
model172_zai_nisaba_description.txt,14.23
model172_zai_zero-shot_description.txt,37.54
model179_anthropic_nisaba_description.txt,17.44
model179_anthropic_zero-shot_description.txt,18.2
model179_deepseek_nisaba_description.txt,34.19
model179_deepseek_zero-shot_description.txt,45.33
model179_xai_nisaba_description.txt,31.91
model179_xai_zero-shot_description.txt,27.73
model179_zai_nisaba_description.txt,33.1
model179_zai_zero-shot_description.txt,33.37
model185_anthropic_nisaba_description.txt,3.02
model185_anthropic_zero-shot_description.txt,13.87
model185_deepseek_nisaba_description.txt,3.04
model185_deepseek_zero-shot_description.txt,12.91
model185_xai_nisaba_description.txt,8.73
model185_xai_zero-shot_description.txt,1.66
model185_zai_nisaba_description.txt,7.41
model185_zai_zero-shot_description.txt,18.16
model186_anthropic_nisaba_description.txt,-0.42
model186_anthropic_zero-shot_description.txt,3.19
model186_deepseek_nisaba_description.txt,3.09
model186_deepseek_zero-shot_description.txt,42.18
model186_xai_nisaba_description.txt,15.56
model186_xai_zero-shot_description.txt,15.4
model186_zai_nisaba_description.txt,13.51
model186_zai_zero-shot_description.txt,17.73
model191_anthropic_nisaba_description.txt,18.07
model191_anthropic_zero-shot_description.txt,28.72
model191_deepseek_nisaba_description.txt,33.67
model191_deepseek_zero-shot_description.txt,31.9
model191_xai_nisaba_description.txt,32.17
model191_xai_zero-shot_description.txt,39.3
model191_zai_nisaba_description.txt,32.64
model191_zai_zero-shot_description.txt,36.66
model192_anthropic_nisaba_description.txt,0.81
model192_anthropic_zero-shot_description.txt,4.02
model192_deepseek_nisaba_description.txt,-5.08
model192_deepseek_zero-shot_description.txt,19.74
model192_xai_nisaba_description.txt,9.93
model192_xai_zero-shot_description.txt,21.62
model192_zai_nisaba_description.txt,11.52
model192_zai_zero-shot_description.txt,27.52
model200_anthropic_nisaba_description.txt,19.0
model200_anthropic_zero-shot_description.txt,21.07
model200_deepseek_nisaba_description.txt,24.37
model200_deepseek_zero-shot_description.txt,38.21
model200_xai_nisaba_description.txt,25.12
model200_xai_zero-shot_description.txt,21.54
model200_zai_nisaba_description.txt,20.0
model200_zai_zero-shot_description.txt,43.11
model202_anthropic_nisaba_description.txt,8.9
model202_anthropic_zero-shot_description.txt,11.98
model202_deepseek_nisaba_description.txt,15.81
model202_deepseek_zero-shot_description.txt,35.47
model202_xai_nisaba_description.txt,25.79
model202_xai_zero-shot_description.txt,6.7
model202_zai_nisaba_description.txt,25.39
model202_zai_zero-shot_description.txt,39.38
model205_anthropic_nisaba_description.txt,18.75
model205_anthropic_zero-shot_description.txt,17.71
model205_deepseek_nisaba_description.txt,21.67
model205_deepseek_zero-shot_description.txt,27.28
model205_xai_nisaba_description.txt,8.62
model205_xai_zero-shot_description.txt,19.69
model205_zai_nisaba_description.txt,21.97
model205_zai_zero-shot_description.txt,34.52
model207_anthropic_nisaba_description.txt,23.81
model207_anthropic_zero-shot_description.txt,37.01
model207_deepseek_nisaba_description.txt,27.08
model207_deepseek_zero-shot_description.txt,37.34
model207_xai_nisaba_description.txt,29.5
model207_xai_zero-shot_description.txt,43.87
model207_zai_nisaba_description.txt,25.86
model207_zai_zero-shot_description.txt,44.38
model208_anthropic_nisaba_description.txt,25.89
model208_anthropic_zero-shot_description.txt,28.16
model208_deepseek_nisaba_description.txt,32.85
model208_deepseek_zero-shot_description.txt,46.43
model208_xai_nisaba_description.txt,35.01
model208_xai_zero-shot_description.txt,25.12
model208_zai_nisaba_description.txt,33.29
model208_zai_zero-shot_description.txt,33.68
model212_anthropic_nisaba_description.txt,17.41
model212_anthropic_zero-shot_description.txt,29.85
model212_deepseek_nisaba_description.txt,23.83
model212_deepseek_zero-shot_description.txt,37.76
model212_xai_nisaba_description.txt,23.73
model212_xai_zero-shot_description.txt,27.26
model212_zai_nisaba_description.txt,20.56
model212_zai_zero-shot_description.txt,38.11
model221_anthropic_nisaba_description.txt,-1.93
model221_anthropic_zero-shot_description.txt,2.87
model221_deepseek_nisaba_description.txt,9.87
model221_deepseek_zero-shot_description.txt,39.54
model221_xai_nisaba_description.txt,10.47
model221_xai_zero-shot_description.txt,17.99
model221_zai_nisaba_description.txt,9.27
model221_zai_zero-shot_description.txt,27.1
model234_anthropic_nisaba_description.txt,13.72
model234_anthropic_zero-shot_description.txt,18.63
model234_deepseek_nisaba_description.txt,20.11
model234_deepseek_zero-shot_description.txt,35.77
model234_xai_nisaba_description.txt,22.27
model234_xai_zero-shot_description.txt,2.5
model234_zai_nisaba_description.txt,23.12
model234_zai_zero-shot_description.txt,27.01
model247_anthropic_nisaba_description.txt,-6.91
model247_anthropic_zero-shot_description.txt,16.25
model247_deepseek_nisaba_description.txt,12.67
model247_deepseek_zero-shot_description.txt,29.33
model247_xai_nisaba_description.txt,23.02
model247_xai_zero-shot_description.txt,20.83
model247_zai_nisaba_description.txt,19.57
model247_zai_zero-shot_description.txt,22.2
model248_anthropic_nisaba_description.txt,17.83
model248_anthropic_zero-shot_description.txt,23.16
model248_deepseek_nisaba_description.txt,18.7
model248_deepseek_zero-shot_description.txt,37.59
model248_xai_nisaba_description.txt,27.77
model248_xai_zero-shot_description.txt,24.56
model248_zai_nisaba_description.txt,29.3
model248_zai_zero-shot_description.txt,28.25
model28_anthropic_nisaba_description.txt,8.86
model28_anthropic_zero-shot_description.txt,4.01
model28_deepseek_nisaba_description.txt,10.79
model28_deepseek_zero-shot_description.txt,23.57
model28_xai_nisaba_description.txt,12.0
model28_xai_zero-shot_description.txt,24.77
model28_zai_nisaba_description.txt,12.93
model28_zai_zero-shot_description.txt,21.11
model35_anthropic_nisaba_description.txt,11.02
model35_anthropic_zero-shot_description.txt,10.28
model35_deepseek_nisaba_description.txt,15.01
model35_deepseek_zero-shot_description.txt,21.9
model35_xai_nisaba_description.txt,18.9
model35_xai_zero-shot_description.txt,11.34
model35_zai_nisaba_description.txt,16.98
model35_zai_zero-shot_description.txt,15.05
model38_anthropic_nisaba_description.txt,13.93
model38_anthropic_zero-shot_description.txt,22.46
model38_deepseek_nisaba_description.txt,27.64
model38_deepseek_zero-shot_description.txt,45.28
model38_xai_nisaba_description.txt,29.21
model38_xai_zero-shot_description.txt,23.58
model38_zai_nisaba_description.txt,23.91
model38_zai_zero-shot_description.txt,33.75
model44_anthropic_nisaba_description.txt,3.55
model44_anthropic_zero-shot_description.txt,4.99
model44_deepseek_nisaba_description.txt,15.91
model44_deepseek_zero-shot_description.txt,26.35
model44_xai_nisaba_description.txt,19.63
model44_xai_zero-shot_description.txt,-1.14
model44_zai_nisaba_description.txt,18.32
model44_zai_zero-shot_description.txt,25.55
model53_anthropic_nisaba_description.txt,26.3
model53_anthropic_zero-shot_description.txt,40.47
model53_deepseek_nisaba_description.txt,44.57
model53_deepseek_zero-shot_description.txt,56.09
model53_xai_nisaba_description.txt,42.97
model53_xai_zero-shot_description.txt,38.11
model53_zai_nisaba_description.txt,40.84
model53_zai_zero-shot_description.txt,56.21
model57_anthropic_nisaba_description.txt,3.4
model57_anthropic_zero-shot_description.txt,3.38
model57_deepseek_nisaba_description.txt,-5.33
model57_deepseek_zero-shot_description.txt,31.24
model57_xai_nisaba_description.txt,6.26
model57_xai_zero-shot_description.txt,15.18
model57_zai_nisaba_description.txt,6.18
model57_zai_zero-shot_description.txt,20.67
model5_anthropic_nisaba_description.txt,18.29
model5_anthropic_zero-shot_description.txt,14.52
model5_deepseek_nisaba_description.txt,23.28
model5_deepseek_zero-shot_description.txt,37.08
model5_xai_nisaba_description.txt,21.09
model5_xai_zero-shot_description.txt,20.61
model5_zai_nisaba_description.txt,22.66
model5_zai_zero-shot_description.txt,32.85
model67_anthropic_nisaba_description.txt,-3.97
model67_anthropic_zero-shot_description.txt,-0.94
model67_deepseek_nisaba_description.txt,9.43
model67_deepseek_zero-shot_description.txt,30.16
model67_xai_nisaba_description.txt,11.99
model67_xai_zero-shot_description.txt,-32.77
model67_zai_nisaba_description.txt,14.21
model67_zai_zero-shot_description.txt,16.17
model70_anthropic_nisaba_description.txt,4.65
model70_anthropic_zero-shot_description.txt,-5.85
model70_deepseek_nisaba_description.txt,0.87
model70_deepseek_zero-shot_description.txt,21.3
model70_xai_nisaba_description.txt,11.27
model70_xai_zero-shot_description.txt,5.95
model70_zai_nisaba_description.txt,11.41
model70_zai_zero-shot_description.txt,21.54
model78_anthropic_nisaba_description.txt,7.54
model78_anthropic_zero-shot_description.txt,17.56
model78_deepseek_nisaba_description.txt,21.63
model78_deepseek_zero-shot_description.txt,33.07
model78_xai_nisaba_description.txt,23.38
model78_xai_zero-shot_description.txt,24.82
model78_zai_nisaba_description.txt,18.84
model78_zai_zero-shot_description.txt,27.85
model81_anthropic_nisaba_description.txt,6.54
model81_anthropic_zero-shot_description.txt,5.4
model81_deepseek_nisaba_description.txt,7.69
model81_deepseek_zero-shot_description.txt,21.87
model81_xai_nisaba_description.txt,8.96
model81_xai_zero-shot_description.txt,12.09
model81_zai_nisaba_description.txt,8.07
model81_zai_zero-shot_description.txt,21.99
model97_anthropic_nisaba_description.txt,20.04
model97_anthropic_zero-shot_description.txt,25.43
model97_deepseek_nisaba_description.txt,24.15
model97_deepseek_zero-shot_description.txt,28.07
model97_xai_nisaba_description.txt,26.12
model97_xai_zero-shot_description.txt,19.22
model97_zai_nisaba_description.txt,24.59
model97_zai_zero-shot_description.txt,34.71
model9_anthropic_nisaba_description.txt,16.15
model9_anthropic_zero-shot_description.txt,18.25
model9_deepseek_nisaba_description.txt,19.26
model9_deepseek_zero-shot_description.txt,31.58
model9_xai_nisaba_description.txt,19.89
model9_xai_zero-shot_description.txt,18.08
model9_zai_nisaba_description.txt,16.06
model9_zai_zero-shot_description.txt,35.63
